"date e hora","caso de teste","mensagem"
"[2021/09/30 00:52:06:526] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-52"
"[2021/09/30 00:52:14:5214] ","submarino","Abriu o Site"
"[2021/09/30 00:52:14:5214] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:52:16:5216] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:52:16:5216] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:52:16:5216] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:52:21:5221] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:52:21:5221] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:52:21:5221] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:52:21:5221] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:52:24:5224] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:52:24:5224] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:52:44:5244] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:52:44:5244] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-52"
"[2021/09/30 00:52:44:5244] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-52 e Terminou em 2021-09-30 00-52"
