"date e hora","caso de teste","mensagem"
"[2021/09/27 23:24:37:2437] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-27 23-24"
"[2021/09/27 23:24:48:2448] ","Iterasys","Abriu o Site"
"[2021/09/27 23:24:48:2448] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/27 23:24:48:2448] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/27 23:24:48:2448] ","Caso de Teste Mantis","limpou o campo"
"[2021/09/27 23:24:49:2449] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/09/27 23:24:52:2452] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/09/27 23:24:55:2455] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/09/27 23:24:55:2455] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/09/27 23:24:56:2456] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/09/27 23:24:56:2456] ","FIM do Caso de Teste","Terminou em 2021-09-27 23-24"
"[2021/09/27 23:24:57:2457] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-27 23-24 e Terminou em 2021-09-27 23-24"
