"date e hora","caso de teste","mensagem"
"[2021/09/30 00:01:43:143] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-01"
"[2021/09/30 00:02:36:236] ","submarino","Abriu o Site"
"[2021/09/30 00:02:36:236] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:02:40:240] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:02:40:240] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:02:42:242] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:02:50:250] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:02:51:251] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:02:51:251] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:02:51:251] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-02"
"[2021/09/30 00:03:08:38] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-01 e Terminou em 2021-09-30 00-03"
