"date e hora","caso de teste","mensagem"
"[2021/09/29 23:29:56:2956] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-29"
"[2021/09/29 23:30:09:309] ","submarino","Abriu o Site"
"[2021/09/29 23:30:09:309] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:30:15:3015] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:30:15:3015] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:30:16:3016] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:30:22:3022] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:30:22:3022] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/29 23:30:22:3022] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/29 23:30:22:3022] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-30"
"[2021/09/29 23:30:23:3023] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-29 e Terminou em 2021-09-29 23-30"
