"date e hora","caso de teste","mensagem"
"[2021/09/29 21:15:47:1547] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-15"
"[2021/09/29 21:17:04:174] ","submarino","Abriu o Site"
"[2021/09/29 21:17:04:174] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:17:04:174] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:17:04:174] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:17:04:174] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:17:07:177] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:17:30:1730] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-17"
"[2021/09/29 21:17:36:1736] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-15 e Terminou em 2021-09-29 21-17"
