"date e hora","caso de teste","mensagem"
"[2021/09/30 00:54:32:5432] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-54"
"[2021/09/30 00:54:45:5445] ","submarino","Abriu o Site"
"[2021/09/30 00:54:45:5445] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:54:46:5446] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:54:46:5446] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:54:47:5447] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:54:48:5448] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:54:59:5459] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-54"
"[2021/09/30 00:55:00:550] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-54 e Terminou em 2021-09-30 00-55"
