"date e hora","caso de teste","mensagem"
"[2021/09/28 00:59:52:5952] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-28 00-59"
"[2021/09/28 01:00:13:013] ","submarino","Abriu o Site"
"[2021/09/28 01:00:13:013] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/28 01:00:14:014] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/28 01:00:14:014] ","Caso de Teste submarino","limpou o campo"
"[2021/09/28 01:00:14:014] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/28 01:00:19:019] ","Caso de Teste submarino","Clicou no botão da Lupa"
"[2021/09/28 01:00:19:019] ","FIM do Caso de Teste","Terminou em 2021-09-28 01-00"
"[2021/09/28 01:00:21:021] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-28 00-59 e Terminou em 2021-09-28 01-00"
