"date e hora","caso de teste","mensagem"
"[2021/09/29 21:00:24:024] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-00"
"[2021/09/29 21:00:44:044] ","submarino","Abriu o Site"
"[2021/09/29 21:00:44:044] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:00:46:046] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:00:46:046] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:00:46:046] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:00:52:052] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:00:52:052] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-00"
"[2021/09/29 21:00:53:053] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-00 e Terminou em 2021-09-29 21-00"
