"date e hora","caso de teste","mensagem"
"[2021/09/29 09:34:53:3453] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 09-34"
"[2021/09/29 09:35:11:3511] ","submarino","Abriu o Site"
"[2021/09/29 09:35:11:3511] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 09:35:13:3513] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 09:35:13:3513] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 09:35:13:3513] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 09:35:15:3515] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 09:35:15:3515] ","FIM do Caso de Teste","Terminou em 2021-09-29 09-35"
"[2021/09/29 09:35:17:3517] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 09-34 e Terminou em 2021-09-29 09-35"
