"date e hora","caso de teste","mensagem"
"[2021/09/29 21:18:14:1814] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-18"
"[2021/09/29 21:18:37:1837] ","submarino","Abriu o Site"
"[2021/09/29 21:18:37:1837] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:18:38:1838] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:18:38:1838] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:18:38:1838] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:18:43:1843] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:20:44:2044] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-20"
"[2021/09/29 21:20:46:2046] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-18 e Terminou em 2021-09-29 21-20"
