"date e hora","caso de teste","mensagem"
"[2021/09/30 00:45:27:4527] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-45"
"[2021/09/30 00:45:45:4545] ","submarino","Abriu o Site"
"[2021/09/30 00:45:45:4545] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:45:46:4546] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:45:46:4546] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:45:46:4546] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:45:48:4548] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:45:53:4553] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-45"
"[2021/09/30 00:45:54:4554] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-45 e Terminou em 2021-09-30 00-45"
