"date e hora","caso de teste","mensagem"
"[2021/09/29 23:35:34:3534] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-35"
"[2021/09/29 23:35:51:3551] ","submarino","Abriu o Site"
"[2021/09/29 23:35:51:3551] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:35:53:3553] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:35:53:3553] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:35:53:3553] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:36:01:361] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:36:01:361] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/29 23:36:01:361] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/29 23:36:01:361] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-36"
"[2021/09/29 23:36:02:362] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-35 e Terminou em 2021-09-29 23-36"
