"date e hora","caso de teste","mensagem"
"[2021/09/29 23:28:59:2859] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-28"
"[2021/09/29 23:29:18:2918] ","submarino","Abriu o Site"
"[2021/09/29 23:29:18:2918] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:29:20:2920] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:29:20:2920] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:29:21:2921] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:29:23:2923] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:29:35:2935] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-29"
"[2021/09/29 23:29:36:2936] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-28 e Terminou em 2021-09-29 23-29"
