"date e hora","caso de teste","mensagem"
"[2021/09/29 10:16:18:1618] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 10-16"
"[2021/09/29 10:16:34:1634] ","submarino","Abriu o Site"
"[2021/09/29 10:16:34:1634] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 10:16:35:1635] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 10:16:35:1635] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 10:16:35:1635] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 10:16:38:1638] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 10:16:38:1638] ","FIM do Caso de Teste","Terminou em 2021-09-29 10-16"
"[2021/09/29 10:16:40:1640] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 10-16 e Terminou em 2021-09-29 10-16"
