"date e hora","caso de teste","mensagem"
"[2021/09/29 20:24:23:2423] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 20-24"
"[2021/09/29 20:25:23:2523] ","submarino","Abriu o Site"
"[2021/09/29 20:25:23:2523] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 20:25:24:2524] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 20:25:24:2524] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 20:25:25:2525] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 20:25:35:2535] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 20:27:36:2736] ","FIM do Caso de Teste","Terminou em 2021-09-29 20-27"
"[2021/09/29 20:27:38:2738] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 20-24 e Terminou em 2021-09-29 20-27"
