"date e hora","caso de teste","mensagem"
"[2021/09/29 23:32:31:3231] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-32"
"[2021/09/29 23:32:43:3243] ","submarino","Abriu o Site"
"[2021/09/29 23:32:43:3243] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:32:45:3245] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:32:45:3245] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:32:45:3245] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:32:51:3251] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:32:51:3251] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/29 23:32:51:3251] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/29 23:32:51:3251] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-32"
"[2021/09/29 23:32:52:3252] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-32 e Terminou em 2021-09-29 23-32"
