"date e hora","caso de teste","mensagem"
"[2021/09/22 22:50:47:5047] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-22 22-50"
"[2021/09/22 22:51:52:5152] ","Iterasys","Abriu o Site"
"[2021/09/22 22:51:52:5152] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/22 22:51:53:5153] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/22 22:51:53:5153] ","Caso de Teste Mantis","limpou o campo"
"[2021/09/22 22:51:54:5154] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/09/22 22:52:01:521] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/09/22 22:52:08:528] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/09/22 22:52:08:528] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/09/22 22:52:09:529] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/09/22 22:52:09:529] ","FIM do Caso de Teste","Terminou em 2021-09-22 22-52"
"[2021/09/22 22:52:15:5215] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-22 22-50 e Terminou em 2021-09-22 22-52"
