"date e hora","caso de teste","mensagem"
"[2021/09/30 00:30:00:300] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-30"
"[2021/09/30 00:30:18:3018] ","submarino","Abriu o Site"
"[2021/09/30 00:30:18:3018] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:30:19:3019] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:30:19:3019] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:30:19:3019] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:30:24:3024] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:30:24:3024] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:30:24:3024] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:30:24:3024] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:30:27:3027] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:30:27:3027] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:30:27:3027] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-30"
"[2021/09/30 00:30:29:3029] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-30 e Terminou em 2021-09-30 00-30"
