"date e hora","caso de teste","mensagem"
"[2021/09/29 09:51:22:5122] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 09-51"
"[2021/09/29 09:51:45:5145] ","submarino","Abriu o Site"
"[2021/09/29 09:51:45:5145] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 09:51:46:5146] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 09:51:46:5146] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 09:51:46:5146] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 09:51:48:5148] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 09:51:48:5148] ","FIM do Caso de Teste","Terminou em 2021-09-29 09-51"
"[2021/09/29 09:51:49:5149] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 09-51 e Terminou em 2021-09-29 09-51"
