"date e hora","caso de teste","mensagem"
"[2021/09/22 23:21:49:2149] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-22 23-21"
"[2021/09/22 23:22:05:225] ","lojaassombrada","Abriu o Site"
"[2021/09/22 23:22:05:225] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/22 23:22:05:225] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/22 23:22:05:225] ","FIM do Caso de Teste","Terminou em 2021-09-22 23-22"
"[2021/09/22 23:22:06:226] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-22 23-21 e Terminou em 2021-09-22 23-22"
