"date e hora","caso de teste","mensagem"
"[2021/09/27 23:22:35:2235] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-27 23-22"
"[2021/09/27 23:22:48:2248] ","submarino","Abriu o Site"
"[2021/09/27 23:22:48:2248] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/27 23:22:50:2250] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/27 23:22:50:2250] ","Caso de Teste submarino","limpou o campo"
"[2021/09/27 23:22:50:2250] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/27 23:22:50:2250] ","FIM do Caso de Teste","Terminou em 2021-09-27 23-22"
"[2021/09/27 23:22:51:2251] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-27 23-22 e Terminou em 2021-09-27 23-22"
