"date e hora","caso de teste","mensagem"
"[2021/09/30 00:55:22:5522] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-55"
"[2021/09/30 00:55:35:5535] ","submarino","Abriu o Site"
"[2021/09/30 00:55:35:5535] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:55:36:5536] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:55:36:5536] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:55:37:5537] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:55:42:5542] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:55:42:5542] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:55:43:5543] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:55:43:5543] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:55:50:5550] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:55:50:5550] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:56:20:5620] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:56:20:5620] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-56"
"[2021/09/30 00:56:23:5623] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-55 e Terminou em 2021-09-30 00-56"
