"date e hora","caso de teste","mensagem"
"[2021/09/30 00:28:38:2838] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-28"
"[2021/09/30 00:28:52:2852] ","submarino","Abriu o Site"
"[2021/09/30 00:28:52:2852] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:28:53:2853] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:28:53:2853] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:28:53:2853] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:28:58:2858] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:28:58:2858] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:28:59:2859] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:28:59:2859] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:29:04:294] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:29:05:295] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-29"
"[2021/09/30 00:29:06:296] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-28 e Terminou em 2021-09-30 00-29"
