"date e hora","caso de teste","mensagem"
"[2021/09/30 00:26:09:269] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-26"
"[2021/09/30 00:26:25:2625] ","submarino","Abriu o Site"
"[2021/09/30 00:26:25:2625] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:26:26:2626] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:26:26:2626] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:26:27:2627] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:26:31:2631] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:26:31:2631] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:26:31:2631] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:26:32:2632] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:26:37:2637] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:26:37:2637] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-26"
"[2021/09/30 00:26:39:2639] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-26 e Terminou em 2021-09-30 00-26"
