"date e hora","caso de teste","mensagem"
"[2021/09/28 00:24:58:2458] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-28 00-24"
"[2021/09/28 00:25:27:2527] ","submarino","Abriu o Site"
"[2021/09/28 00:25:27:2527] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/28 00:25:27:2527] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/28 00:25:27:2527] ","Caso de Teste submarino","limpou o campo"
"[2021/09/28 00:25:28:2528] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/28 00:25:33:2533] ","Caso de Teste submarino","Clicou no botão da Lupa"
"[2021/09/28 00:27:34:2734] ","FIM do Caso de Teste","Terminou em 2021-09-28 00-27"
"[2021/09/28 00:27:36:2736] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-28 00-24 e Terminou em 2021-09-28 00-27"
