"date e hora","caso de teste","mensagem"
"[2021/09/29 21:31:14:3114] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-31"
"[2021/09/29 21:31:44:3144] ","submarino","Abriu o Site"
"[2021/09/29 21:31:44:3144] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:31:46:3146] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:31:46:3146] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:31:47:3147] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:31:58:3158] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:31:59:3159] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-31"
"[2021/09/29 21:32:03:323] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-31 e Terminou em 2021-09-29 21-32"
