"date e hora","caso de teste","mensagem"
"[2021/09/30 00:46:02:462] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-46"
"[2021/09/30 00:46:13:4613] ","submarino","Abriu o Site"
"[2021/09/30 00:46:13:4613] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:46:14:4614] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:46:15:4615] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:46:15:4615] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:46:20:4620] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:46:20:4620] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:46:20:4620] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:46:20:4620] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:46:24:4624] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:46:24:4624] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:46:50:4650] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:46:50:4650] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-46"
"[2021/09/30 00:46:52:4652] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-46 e Terminou em 2021-09-30 00-46"
