"date e hora","caso de teste","mensagem"
"[2021/09/30 00:56:58:5658] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-56"
"[2021/09/30 00:57:07:577] ","submarino","Abriu o Site"
"[2021/09/30 00:57:07:577] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:57:08:578] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:57:08:578] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:57:09:579] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:57:13:5713] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:57:13:5713] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:57:13:5713] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:57:13:5713] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:57:16:5716] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:57:16:5716] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:57:27:5727] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:57:27:5727] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-57"
"[2021/09/30 00:57:28:5728] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-56 e Terminou em 2021-09-30 00-57"
