"date e hora","caso de teste","mensagem"
"[2021/09/30 00:18:34:1834] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-18"
"[2021/09/30 00:18:47:1847] ","submarino","Abriu o Site"
"[2021/09/30 00:18:47:1847] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:18:48:1848] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:18:48:1848] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:18:48:1848] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:18:53:1853] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:18:53:1853] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:18:53:1853] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:18:53:1853] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:18:57:1857] ","Caso de Teste submarino","Clicou no valor de R$ 29,90 "
"[2021/09/30 00:18:57:1857] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-18"
"[2021/09/30 00:18:58:1858] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-18 e Terminou em 2021-09-30 00-18"
