"date e hora","caso de teste","mensagem"
"[2021/09/30 00:17:51:1751] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-17"
"[2021/09/30 00:18:11:1811] ","submarino","Abriu o Site"
"[2021/09/30 00:18:11:1811] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:18:12:1812] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:18:12:1812] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:18:13:1813] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:18:15:1815] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:18:20:1820] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-18"
"[2021/09/30 00:18:22:1822] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-17 e Terminou em 2021-09-30 00-18"
