"date e hora","caso de teste","mensagem"
"[2021/09/29 09:04:41:441] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 09-04"
"[2021/09/29 09:05:30:530] ","Iterasys","Abriu o Site"
"[2021/09/29 09:05:30:530] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/29 09:05:32:532] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/29 09:05:32:532] ","Caso de Teste Mantis","limpou o campo"
"[2021/09/29 09:05:32:532] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/09/29 09:05:37:537] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/09/29 09:05:41:541] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/09/29 09:05:41:541] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/09/29 09:05:41:541] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/09/29 09:05:41:541] ","FIM do Caso de Teste","Terminou em 2021-09-29 09-05"
"[2021/09/29 09:05:43:543] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 09-04 e Terminou em 2021-09-29 09-05"
