"date e hora","caso de teste","mensagem"
"[2021/09/29 23:34:02:342] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-34"
"[2021/09/29 23:34:16:3416] ","submarino","Abriu o Site"
"[2021/09/29 23:34:16:3416] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:34:18:3418] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:34:18:3418] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:34:18:3418] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:34:20:3420] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:35:12:3512] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-35"
"[2021/09/29 23:35:13:3513] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-34 e Terminou em 2021-09-29 23-35"
