"date e hora","caso de teste","mensagem"
"[2021/09/29 09:43:19:4319] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 09-43"
"[2021/09/29 09:43:32:4332] ","submarino","Abriu o Site"
"[2021/09/29 09:43:32:4332] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 09:43:33:4333] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 09:43:33:4333] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 09:43:33:4333] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 09:43:34:4334] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 09:43:35:4335] ","FIM do Caso de Teste","Terminou em 2021-09-29 09-43"
"[2021/09/29 09:43:36:4336] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 09-43 e Terminou em 2021-09-29 09-43"
