"date e hora","caso de teste","mensagem"
"[2021/09/28 00:39:39:3939] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-28 00-39"
"[2021/09/28 00:40:39:4039] ","submarino","Abriu o Site"
"[2021/09/28 00:40:39:4039] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/28 00:40:41:4041] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/28 00:40:42:4042] ","Caso de Teste submarino","limpou o campo"
"[2021/09/28 00:40:45:4045] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/28 00:40:47:4047] ","Caso de Teste submarino","Clicou no botão da Lupa"
"[2021/09/28 00:42:47:4247] ","FIM do Caso de Teste","Terminou em 2021-09-28 00-42"
"[2021/09/28 00:42:50:4250] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-28 00-39 e Terminou em 2021-09-28 00-42"
