"date e hora","caso de teste","mensagem"
"[2021/09/29 20:58:26:5826] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 20-58"
"[2021/09/29 20:58:57:5857] ","submarino","Abriu o Site"
"[2021/09/29 20:58:57:5857] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 20:58:58:5858] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 20:58:58:5858] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 20:58:58:5858] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 20:59:00:590] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 20:59:56:5956] ","FIM do Caso de Teste","Terminou em 2021-09-29 20-59"
"[2021/09/29 21:00:00:00] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 20-58 e Terminou em 2021-09-29 20-59"
