"date e hora","caso de teste","mensagem"
"[2021/09/29 21:29:27:2927] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-29"
"[2021/09/29 21:30:30:3030] ","submarino","Abriu o Site"
"[2021/09/29 21:30:30:3030] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:30:30:3030] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:30:31:3031] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:30:31:3031] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:30:34:3034] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:30:39:3039] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-30"
"[2021/09/29 21:30:43:3043] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-29 e Terminou em 2021-09-29 21-30"
