"date e hora","caso de teste","mensagem"
"[2021/09/30 00:51:21:5121] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-51"
"[2021/09/30 00:51:31:5131] ","submarino","Abriu o Site"
"[2021/09/30 00:51:31:5131] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:51:32:5132] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:51:32:5132] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:51:32:5132] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:51:37:5137] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:51:43:5143] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-51"
"[2021/09/30 00:51:44:5144] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-51 e Terminou em 2021-09-30 00-51"
