"date e hora","caso de teste","mensagem"
"[2021/09/29 21:07:38:738] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-07"
"[2021/09/29 21:07:50:750] ","submarino","Abriu o Site"
"[2021/09/29 21:07:50:750] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:07:51:751] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:07:52:752] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:07:52:752] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:07:57:757] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:07:57:757] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-07"
"[2021/09/29 21:07:58:758] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-07 e Terminou em 2021-09-29 21-07"
