"date e hora","caso de teste","mensagem"
"[2021/09/29 23:27:55:2755] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-27"
"[2021/09/29 23:28:15:2815] ","submarino","Abriu o Site"
"[2021/09/29 23:28:15:2815] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:28:16:2816] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:28:17:2817] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:28:17:2817] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:28:21:2821] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:28:21:2821] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/29 23:28:21:2821] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-28"
"[2021/09/29 23:28:22:2822] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-27 e Terminou em 2021-09-29 23-28"
