"date e hora","caso de teste","mensagem"
"[2021/09/30 00:39:33:3933] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-39"
"[2021/09/30 00:39:47:3947] ","submarino","Abriu o Site"
"[2021/09/30 00:39:47:3947] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:39:48:3948] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:39:48:3948] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:39:49:3949] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:39:53:3953] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:39:53:3953] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:39:53:3953] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:39:54:3954] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:39:57:3957] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:39:57:3957] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:40:13:4013] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:40:13:4013] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-40"
"[2021/09/30 00:40:15:4015] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-39 e Terminou em 2021-09-30 00-40"
