"date e hora","caso de teste","mensagem"
"[2021/09/29 21:01:53:153] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-01"
"[2021/09/29 21:02:10:210] ","submarino","Abriu o Site"
"[2021/09/29 21:02:10:210] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:02:11:211] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:02:11:211] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:02:12:212] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:02:16:216] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:02:16:216] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-02"
"[2021/09/29 21:02:18:218] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-01 e Terminou em 2021-09-29 21-02"
