"date e hora","caso de teste","mensagem"
"[2021/09/29 21:04:11:411] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 21-04"
"[2021/09/29 21:04:29:429] ","submarino","Abriu o Site"
"[2021/09/29 21:04:29:429] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 21:04:30:430] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 21:04:30:430] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 21:04:31:431] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 21:04:36:436] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 21:06:36:636] ","FIM do Caso de Teste","Terminou em 2021-09-29 21-06"
"[2021/09/29 21:06:38:638] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 21-04 e Terminou em 2021-09-29 21-06"
