"date e hora","caso de teste","mensagem"
"[2021/09/22 23:27:35:2735] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-22 23-27"
"[2021/09/22 23:27:48:2748] ","lojaassombrada","Abriu o Site"
"[2021/09/22 23:27:48:2748] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/22 23:27:48:2748] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/22 23:27:48:2748] ","Caso de Teste Mantis","Digitou canecas"
"[2021/09/22 23:27:49:2749] ","FIM do Caso de Teste","Terminou em 2021-09-22 23-27"
"[2021/09/22 23:27:50:2750] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-22 23-27 e Terminou em 2021-09-22 23-27"
