"date e hora","caso de teste","mensagem"
"[2021/09/29 23:21:08:218] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 23-21"
"[2021/09/29 23:21:43:2143] ","submarino","Abriu o Site"
"[2021/09/29 23:21:43:2143] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 23:21:43:2143] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 23:21:44:2144] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 23:21:44:2144] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 23:21:46:2146] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 23:22:28:2228] ","FIM do Caso de Teste","Terminou em 2021-09-29 23-22"
"[2021/09/29 23:22:29:2229] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 23-21 e Terminou em 2021-09-29 23-22"
