"date e hora","caso de teste","mensagem"
"[2021/09/28 00:13:31:1331] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-28 00-13"
"[2021/09/28 00:13:51:1351] ","submarino","Abriu o Site"
"[2021/09/28 00:13:51:1351] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/28 00:13:53:1353] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/28 00:13:53:1353] ","Caso de Teste submarino","limpou o campo"
"[2021/09/28 00:13:53:1353] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/28 00:13:59:1359] ","Caso de Teste submarino","Clicou no botão da Lupa"
"[2021/09/28 00:16:00:160] ","FIM do Caso de Teste","Terminou em 2021-09-28 00-16"
"[2021/09/28 00:16:02:162] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-28 00-13 e Terminou em 2021-09-28 00-16"
