"date e hora","caso de teste","mensagem"
"[2021/09/20 22:42:50:4250] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-20 22-42"
"[2021/09/20 22:44:10:4410] ","Iterasys","Abriu o Site"
"[2021/09/20 22:44:10:4410] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/20 22:44:13:4413] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/20 22:44:14:4414] ","Caso de Teste Mantis","limpou o campo"
"[2021/09/20 22:44:14:4414] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/09/20 22:44:22:4422] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/09/20 22:44:32:4432] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/09/20 22:44:32:4432] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/09/20 22:44:32:4432] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/09/20 22:44:32:4432] ","FIM do Caso de Teste","Terminou em 2021-09-20 22-44"
"[2021/09/20 22:44:37:4437] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-20 22-42 e Terminou em 2021-09-20 22-44"
