"date e hora","caso de teste","mensagem"
"[2021/09/27 23:17:11:1711] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-27 23-17"
"[2021/09/27 23:17:31:1731] ","submarino","Abriu o Site"
"[2021/09/27 23:17:31:1731] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/27 23:17:31:1731] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/27 23:17:31:1731] ","Caso de Teste submarino","limpou o campo"
"[2021/09/27 23:17:31:1731] ","FIM do Caso de Teste","Terminou em 2021-09-27 23-17"
"[2021/09/27 23:17:32:1732] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-27 23-17 e Terminou em 2021-09-27 23-17"
