"date e hora","caso de teste","mensagem"
"[2021/09/30 00:16:51:1651] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-16"
"[2021/09/30 00:17:14:1714] ","submarino","Abriu o Site"
"[2021/09/30 00:17:14:1714] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:17:15:1715] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:17:15:1715] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:17:16:1716] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:17:20:1720] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:17:20:1720] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:17:21:1721] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:17:21:1721] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:17:25:1725] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-17"
"[2021/09/30 00:17:27:1727] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-16 e Terminou em 2021-09-30 00-17"
