"date e hora","caso de teste","mensagem"
"[2021/09/30 00:37:50:3750] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-37"
"[2021/09/30 00:38:01:381] ","submarino","Abriu o Site"
"[2021/09/30 00:38:01:381] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:38:03:383] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:38:03:383] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:38:03:383] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:38:07:387] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:38:08:388] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:38:08:388] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:38:08:388] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:38:12:3812] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:38:12:3812] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:38:33:3833] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:38:33:3833] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-38"
"[2021/09/30 00:38:35:3835] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-37 e Terminou em 2021-09-30 00-38"
