"date e hora","caso de teste","mensagem"
"[2021/09/28 23:40:36:4036] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-28 23-40"
"[2021/09/28 23:40:54:4054] ","Iterasys","Abriu o Site"
"[2021/09/28 23:40:54:4054] ","Caso de Teste Mantis","Iniciou o Caso de Teste"
"[2021/09/28 23:40:55:4055] ","Caso de Teste Mantis","clicou na barra de pesquisa"
"[2021/09/28 23:40:55:4055] ","Caso de Teste Mantis","limpou o campo"
"[2021/09/28 23:40:55:4055] ","Caso de Teste Mantis","Digitou Mantis"
"[2021/09/28 23:40:59:4059] ","Caso de Teste Mantis","Clicou botão Lupa"
"[2021/09/28 23:41:01:411] ","Caso de Teste Mantis","Clicou em Comprar"
"[2021/09/28 23:41:01:411] ","Caso de Teste Mantis","Aferiu que é Mantis "
"[2021/09/28 23:41:03:413] ","Caso de Teste Mantis","Aferiu que é R$ 49,99"
"[2021/09/28 23:41:03:413] ","FIM do Caso de Teste","Terminou em 2021-09-28 23-41"
"[2021/09/28 23:41:04:414] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-28 23-40 e Terminou em 2021-09-28 23-41"
