"date e hora","caso de teste","mensagem"
"[2021/09/30 00:03:57:357] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-03"
"[2021/09/30 00:04:16:416] ","submarino","Abriu o Site"
"[2021/09/30 00:04:16:416] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:04:17:417] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:04:17:417] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:04:17:417] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:04:20:420] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:05:08:58] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-05"
"[2021/09/30 00:05:11:511] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-03 e Terminou em 2021-09-30 00-05"
