"date e hora","caso de teste","mensagem"
"[2021/09/30 00:05:34:534] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-05"
"[2021/09/30 00:05:55:555] ","submarino","Abriu o Site"
"[2021/09/30 00:05:55:555] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:05:57:557] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:05:57:557] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:05:58:558] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:06:04:64] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:06:04:64] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:06:05:65] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:06:05:65] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:06:05:65] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-06"
"[2021/09/30 00:06:07:67] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-05 e Terminou em 2021-09-30 00-06"
