"date e hora","caso de teste","mensagem"
"[2021/09/29 20:31:06:316] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-29 20-31"
"[2021/09/29 20:31:32:3132] ","submarino","Abriu o Site"
"[2021/09/29 20:31:32:3132] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/29 20:31:32:3132] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/29 20:31:33:3133] ","Caso de Teste submarino","limpou o campo"
"[2021/09/29 20:31:33:3133] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/29 20:31:39:3139] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/29 20:33:40:3340] ","FIM do Caso de Teste","Terminou em 2021-09-29 20-33"
"[2021/09/29 20:33:42:3342] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-29 20-31 e Terminou em 2021-09-29 20-33"
